time_period,academic_year,YAG,qualification_level,sex,CAH3_code,CAH3_subject,grads,grads_uk,unmatched_percent,overseas_percent,matched,activity_not_captured,no_sust_dest,sust_emp_only,sust_emp_with_or_without_fs,sust_emp_fs_or_both,fs_with_or_without_sust_emp,earnings_include,earnings_LQ,earnings_median,earnings_UQ
202324,2021/2022,1 YAG,First-degree,Female,CAH25-02-02,Music,2395,2340,0.3,2.2,2335,3.3,9.1,66.7,84,87.6,20.9,1415,13100,19000,23800
202324,2021/2022,1 YAG,First-degree,Male,CAH07-02-01,Chemistry,1560,1525,0.8,2.3,1515,3.5,6.8,55.1,78.9,89.7,34.7,825,22700,27100,31800
202223,2020/2021,1 YAG,First-degree,Male,CAH25-02-03,Drama,1410,1390,1.4,1.3,1370,2,9.8,71.7,83.6,88.2,16.5,895,13100,18200,23200
202223,2020/2021,1 YAG,First-degree,Female,CAH17-01-08,Accounting,1900,1875,0.8,1.2,1860,2.5,6.5,63.5,87.4,91,27.4,1165,20200,24100,29200
202122,2019/2020,1 YAG,First-degree,Female,CAH26-01-03,Human geography,1280,1260,0.4,1.6,1255,1,4.5,50,87.5,94.6,44.6,620,18600,23000,27400
202122,2019/2020,1 YAG,First-degree,Female,CAH11-01-06,Computer games and animation,400,395,0.8,1.3,390,4.9,16.3,62.4,70.7,78.9,16.5,235,11700,17900,24500
202122,2019/2020,1 YAG,First-degree,Female,CAH15-02-01,Economics,1855,1830,0.6,1.3,1820,2.4,4.2,58.1,86.2,93.4,35.3,1045,22300,28500,34700
202324,2021/2022,1 YAG,First-degree,Male,CAH06-01-03,Agriculture,295,280,0.5,5.3,280,10.6,8.6,67.1,77,80.9,13.8,180,20500,26400,32600
202223,2020/2021,1 YAG,First-degree,Male,CAH26-01-03,Human geography,905,875,0.7,3.2,870,2.4,6.5,52.3,81.9,91.2,38.9,450,20100,25200,31400
202324,2021/2022,1 YAG,First-degree,Male,CAH20-02-01,Philosophy,970,950,0.5,2.2,945,6,10.1,47,69.3,83.9,36.9,430,17200,24500,32600
202324,2021/2022,1 YAG,First-degree,Male,CAH15-03-01,Politics,3035,2960,0.7,2.5,2935,5.4,8.1,54.2,75.6,86.4,32.3,1530,20500,26000,32600
202324,2021/2022,1 YAG,First-degree,Male,CAH15-02-01,Economics,5095,4985,0.7,2.2,4950,4.1,7.8,59.6,81.4,88.1,28.4,2905,23800,30400,38800
202324,2019/2020,3 YAG,First-degree,Male,CAH17-01-07,Finance,1955,1935,0.9,1.2,1915,5.4,8,74.2,85.1,86.6,12.3,1395,25300,31800,42500
202223,2020/2021,1 YAG,First-degree,Female,CAH25-01-03,Design studies,8090,7965,0.8,1.6,7900,3.2,10.3,75.6,83.6,86.5,10.9,5780,15700,20800,24500
202324,2019/2020,3 YAG,First-degree,Female,CAH06-01-07,Food sciences,150,145,1.1,2.3,145,2.7,5.6,80.4,89.5,91.7,11.3,115,24900,30400,35500
202122,2019/2020,1 YAG,First-degree,Male,CAH11-01-04,Software engineering,1115,1100,0.2,1.4,1095,4.9,6.8,76,85.3,88.3,12.4,820,20100,25200,31800
202223,2020/2021,1 YAG,First-degree,Female,CAH11-01-01,Computer science,1115,1095,2.5,1.9,1065,4.7,7.9,69.8,82.9,87.4,17.6,730,23700,31400,41200
202223,2020/2021,1 YAG,First-degree,Female,CAH26-01-03,Human geography,1310,1270,1,3.2,1255,1.4,6.7,53.2,83.9,91.9,38.7,660,20400,24800,29200
202324,2021/2022,1 YAG,First-degree,Male,CAH17-01-03,Marketing,1620,1580,0.8,2.4,1570,5.3,10.7,75.1,81.2,83.9,8.8,1155,20500,24900,29300
202223,2020/2021,1 YAG,First-degree,Female,CAH17-01-05,Human resource management,545,540,1.2,1.2,530,3.3,6,72.5,88.1,90.8,18.2,380,20800,24800,29200
202324,2021/2022,1 YAG,First-degree,Female,CAH17-01-03,Marketing,2190,2140,1.1,2.2,2115,3.6,9.7,78,84.5,86.7,8.8,1630,21600,24900,29300
202324,2021/2022,1 YAG,First-degree,Female,CAH24-01-02,Publicity studies,140,135,0.3,2.1,135,3.3,10.8,79.6,84.7,85.9,6.3,105,22300,24500,27100
202324,2021/2022,1 YAG,First-degree,Female,CAH04-01-04,Psychology and health,190,190,0.5,0.6,190,2.3,6.2,56,84.2,91.5,35.5,105,18300,22300,27100
202324,2021/2022,1 YAG,First-degree,Female,CAH07-02-01,Chemistry,1315,1285,0.5,2.1,1280,2.9,5.5,53.9,81.9,91.6,37.7,680,22700,27100,32600
202324,2021/2022,1 YAG,First-degree,Female,CAH25-01-04,Cinematics and photography,3070,3015,0.6,1.8,2995,3.7,13,71,79.7,83.3,12.3,2060,13200,19400,24200
202223,2020/2021,1 YAG,First-degree,Female,CAH15-02-01,Economics,2110,2070,1.1,2,2050,2.9,5,61.5,87.8,92.1,30.6,1235,23700,30300,39100
202324,2021/2022,1 YAG,First-degree,Male,CAH09-01-01,Mathematics,3365,3285,0.8,2.4,3260,5,7.3,54.6,78.1,87.8,33.2,1740,23800,30400,37700
202324,2021/2022,1 YAG,First-degree,Female,CAH16-01-01,Law,9815,9675,0.4,1.4,9640,2.1,6.1,45.7,81.1,91.8,46.1,4345,19800,23400,27900
202223,2020/2021,1 YAG,First-degree,Female,CAH20-01-05,Classics,625,610,1.1,2.2,600,3.9,6.8,41.8,76.2,89.3,47.5,245,18600,22600,29600
202324,2021/2022,1 YAG,First-degree,Male,CAH19-04-08,American and australasian studies,95,90,0,4.3,90,5.8,11.3,53.2,73.6,82.9,29.7,45,14600,21200,27100
202223,2020/2021,1 YAG,First-degree,Female,CAH17-01-07,Finance,1260,1250,1.2,1.1,1235,2.9,6.2,65.1,87.5,90.9,25.8,795,20100,24500,29900
202223,2020/2021,1 YAG,First-degree,Female,CAH03-01-02,Biology (non-specific),1535,1500,0.7,2.2,1490,2.1,5.8,48.9,79.7,92.1,43.1,720,19700,23700,28100
202122,2019/2020,1 YAG,First-degree,Male,CAH19-04-08,American and australasian studies,145,145,0.3,2.3,145,2.1,6.5,49.4,78,91.4,42,65,12400,18600,24100
202223,2020/2021,1 YAG,First-degree,Female,CAH02-05-04,"Anatomy, physiology and pathology",555,545,0.5,1.8,540,2,5.4,40.6,76.3,92.7,52.1,215,19000,24500,30300
202324,2021/2022,1 YAG,First-degree,Female,CAH24-01-03,Publishing,135,130,0,1,130,3.5,9.7,73.8,82.8,86.8,12.9,95,20500,23800,26700
202223,2020/2021,1 YAG,First-degree,Male,CAH04-01-02,Applied psychology,245,240,0.1,1.8,240,2,8.2,49.6,81.6,89.8,40.2,115,15700,21500,25900
202223,2020/2021,1 YAG,First-degree,Female,CAH25-02-04,Dance,970,945,0.6,2.3,940,1.9,8.1,69.1,87,90.1,21,585,12400,16800,21500
202223,2020/2021,1 YAG,First-degree,Female,CAH02-06-02,Nutrition and dietetics,775,765,1,1.1,760,3.9,5.9,64.8,83.6,90.1,25.4,480,19700,24500,28500
202223,2020/2021,1 YAG,First-degree,Male,CAH03-01-02,Biology (non-specific),890,875,1,1.6,870,3.5,7.8,48.1,74.6,88.7,40.6,410,18600,23000,28500
202324,2021/2022,1 YAG,First-degree,Male,CAH19-04-07,African and modern middle eastern studies,55,55,1.2,4.5,50,4.7,13.5,49.9,66.9,81.8,31.9,25,19400,29600,35500
202324,2021/2022,1 YAG,First-degree,Female,CAH24-01-04,Journalism,795,775,0.5,2,775,3.2,10.3,72.9,82.3,86.5,13.7,555,17900,22700,26400
202324,2021/2022,1 YAG,First-degree,Male,CAH11-01-08,Others in computing,310,310,0.6,0.6,310,4.4,8.8,78.5,84.1,86.8,8.3,235,22000,26400,32200
202324,2021/2022,1 YAG,First-degree,Female,CAH15-01-04,Anthropology,495,475,0,3.3,475,3.5,7.7,53.5,75.8,88.8,35.3,250,17600,23400,27800
202324,2021/2022,1 YAG,First-degree,Female,CAH26-01-03,Human geography,1070,1025,0.2,4.2,1020,2.7,6.7,55.4,82.2,90.6,35.2,555,20100,25300,30000
202223,2020/2021,1 YAG,First-degree,Female,CAH25-02-02,Music,2480,2435,1.4,2,2400,2.3,8.5,63.6,83.9,89.2,25.6,1395,12600,17900,23000
202324,2021/2022,1 YAG,First-degree,Female,CAH10-01-08,Electrical and electronic engineering,245,240,2,2.2,235,3.3,9.5,72.5,83.1,87.2,14.7,170,28500,33300,40600
202324,2021/2022,1 YAG,First-degree,Male,CAH13-01-01,Architecture,1230,1205,0.5,2.2,1200,3.8,10.5,55,76.1,85.7,30.7,645,19500,23400,27400
202324,2021/2022,1 YAG,First-degree,Male,CAH02-05-03,Biomedical sciences (non-specific),1895,1865,0.5,1.5,1855,3.1,7.2,50.4,75,89.7,39.2,925,19400,24200,28900
202223,2020/2021,1 YAG,First-degree,Male,CAH11-01-02,Information technology,800,795,0.5,0.9,790,5.6,8.1,68.6,81.8,86.2,17.6,525,21900,28500,39400
202223,2020/2021,1 YAG,First-degree,Male,CAH11-01-07,Business computing,370,370,1.1,0.6,365,3.4,9.1,74.1,83.7,87.5,13.4,270,21900,26300,32800
202223,2020/2021,1 YAG,First-degree,Female,CAH02-06-07,"Counselling, psychotherapy and occupational therapy",1720,1705,0.9,0.8,1690,1.9,5,79,91,93,14,1280,19300,24800,27200
202324,2021/2022,1 YAG,First-degree,Female,CAH03-02-01,Sport and exercise sciences,2680,2630,0.3,1.8,2620,1.4,4.6,54.2,86.6,93.9,39.7,1375,16800,22300,26400
202324,2021/2022,1 YAG,First-degree,Female,CAH06-01-03,Agriculture,340,330,1.2,3.4,325,2.6,6.3,75.5,88.5,91.1,15.6,235,18300,23800,27100
202324,2021/2022,1 YAG,First-degree,Female,CAH19-01-07,Linguistics,355,345,0.3,3.3,345,2.7,7.5,52.3,79.4,89.8,37.6,175,16500,22000,26000
202324,2021/2022,1 YAG,First-degree,Female,CAH02-05-01,Medical technology,915,915,0.3,0.1,910,2.8,3.7,81.5,91.7,93.5,12,740,30000,33300,38400
202324,2021/2022,1 YAG,First-degree,Female,CAH26-01-01,Geography (non-specific),535,520,0.2,3,515,2.1,8.5,51.3,81.1,89.4,38.1,265,19800,24500,28900
202324,2021/2022,1 YAG,First-degree,Male,CAH11-01-06,Computer games and animation,1840,1830,0.5,0.6,1820,7.3,15.4,63.6,71,77.4,13.8,1125,14600,22000,26400
202324,2021/2022,1 YAG,First-degree,Male,CAH26-01-06,Earth sciences,555,520,0.7,5.8,515,6.4,6.5,53.5,74.2,87.1,33.6,275,22300,26700,31500
