"time_period","time_identifier","geographic_level","country_code","country_name","academic_year","YAG","qualification_level","sex","CAH2_code","CAH2_subject","CAH3_code","CAH3_subject","grads","grads_uk","unmatched_percent","overseas_percent","matched","activity_not_captured","no_sust_dest","sust_emp_only","sust_emp_with_or_without_fs","sust_emp_fs_or_both","fs_with_or_without_sust_emp","earnings_include","earnings_LQ","earnings_median","earnings_UQ"
201819,"Tax year","National","K02000001","United Kingdom","2014/2015","3 YAG","Level 7","Female","CAH13-01","Architecture, building and planning","CAH13-01-02","Building",185,180,"2.3","2.9","175","7","6.5","82.6","86.5","86.5","3.9","140","28500","38300","49300"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","First-degree","Male","CAH20-01","History and archaeology","CAH20-01-01","History",4730,4575,"1.1","3.3","4525","5.7","5.8","72.8","84","88.5","15.7","3190","18200","23700","30300"
201920,"Tax year","National","K02000001","United Kingdom","2013/2014","5 YAG","First-degree","Male","CAH17-01","Business and management","CAH17-01-02","Business studies",7200,6980,"1.6","3.1","6865","8.9","6.6","79.4","83.5","84.5","5.1","5295","23100","31100","42800"
202324,"Tax year","National","K02000001","United Kingdom","2012/2013","10 YAG","Level 7","Female","CAH22-01","Education and teaching","CAH22-01-01","Education",7775,7545,"4.7","3","7190","9.4","3.8","80.7","86.1","86.8","6.2","5445","25600","40600","52300"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","Level 7","Female","CAH17-01","Business and management","CAH17-01-04","Management studies",2180,2115,"6.6","3.1","1975","8.3","4.3","79.1","86.1","87.4","8.3","1505","28100","39800","52600"
202223,"Tax year","National","K02000001","United Kingdom","2018/2019","3 YAG","First-degree","Female","CAH02-04","Nursing and midwifery","CAH02-04-02","Adult nursing",9410,9330,"0.5","0.8","9285","1.8","2.8","71.8","94.2","95.5","23.7","6590","25600","31800","38000"
202122,"Tax year","National","K02000001","United Kingdom","2010/2011","10 YAG","Level 7","Male","CAH01-01","Medicine and dentistry","CAH01-01-02","Medicine (non-specific)",915,860,"5.7","6.2","810","13.9","3.5","74.1","81.6","82.6","8.5","570","44500","73000","118600"
202324,"Tax year","National","K02000001","United Kingdom","2017/2018","5 YAG","First-degree","Female","CAH02-04","Nursing and midwifery","CAH02-04-01","Nursing (non-specific)",1940,1925,"1.2","1","1900","3.8","3.7","71.7","90.9","92.5","20.8","1335","29300","38800","47200"
201819,"Tax year","National","K02000001","United Kingdom","2012/2013","5 YAG","First-degree","Male","CAH11-01","Computing","CAH11-01-01","Computer science",5945,5780,"1","2.7","5725","7.2","5.7","83.1","86.2","87.1","3.9","4655","23400","32500","44200"
201920,"Tax year","National","K02000001","United Kingdom","2015/2016","3 YAG","First-degree","Female","CAH11-01","Computing","CAH11-01-01","Computer science",950,930,"0.3","2.2","925","6.3","8.4","77","82.7","85.4","8.3","705","19800","26400","34400"
201920,"Tax year","National","K02000001","United Kingdom","2017/2018","1 YAG","Level 7","Female","CAH02-04","Nursing and midwifery","CAH02-04-03","Community nursing",620,615,"0.5","0.9","615","1.4","1.3","76","96.4","97.3","21.4","465","23400","28900","34800"
202324,"Tax year","National","K02000001","United Kingdom","2021/2022","1 YAG","Level 7","Female","CAH20-01","History and archaeology","CAH20-01-01","History",930,915,"0.6","1.4","910","5.1","5.4","66.8","82.9","89.5","22.7","580","21200","26700","33100"
202223,"Tax year","National","K02000001","United Kingdom","2020/2021","1 YAG","Level 7","Female","CAH02-04","Nursing and midwifery","CAH02-04-09","Others in nursing",990,985,"1.4","0.5","970","2.1","1.7","68","94.8","96.2","28.1","660","33600","42000","48500"
202021,"Tax year","National","K02000001","United Kingdom","2014/2015","5 YAG","Level 7","Male","CAH22-01","Education and teaching","CAH22-01-02","Teacher training",6215,5945,"1.3","4.3","5870","7","2.5","82.8","89.5","90.5","7.7","4730","29600","33900","39400"
201819,"Tax year","National","K02000001","United Kingdom","2007/2008","10 YAG","First-degree","Female","CAH02-06","Allied health","CAH02-06-07","Counselling, psychotherapy and occupational therapy",1465,1440,"5.8","1.8","1360","7.3","4.5","82.2","88.1","88.2","6","1070","17200","24800","31800"
202223,"Tax year","National","K02000001","United Kingdom","2011/2012","10 YAG","First-degree","Male","CAH02-06","Allied health","CAH02-06-06","Complementary and alternative medicine",240,230,"3.9","4.6","220","15.4","5","74.6","79.7","79.7","5.1","140","13700","32300","43400"
202324,"Tax year","National","K02000001","United Kingdom","2012/2013","10 YAG","First-degree","Male","CAH17-01","Business and management","CAH17-01-02","Business studies",6870,6655,"2","3.1","6520","10.3","6.2","80.9","83.2","83.6","2.7","5100","31800","47200","71400"
202122,"Tax year","National","K02000001","United Kingdom","2010/2011","10 YAG","First-degree","Female","CAH16-01","Law","CAH16-01-01","Law",7395,7240,"2.6","2.1","7045","8.5","5.9","80.7","84.8","85.6","5","5495","23400","35000","52200"
202021,"Tax year","National","K02000001","United Kingdom","2014/2015","5 YAG","First-degree","Female","CAH16-01","Law","CAH16-01-01","Law",7010,6895,"0.8","1.6","6845","4.7","6.7","77","86.5","88.6","11.6","5145","21200","28100","38000"
201920,"Tax year","National","K02000001","United Kingdom","2015/2016","3 YAG","Level 8","Female","CAH04-01","Psychology","CAH04-01-01","Psychology (non-specific)",330,320,"2.2","1.9","315","4.6","2.9","82.5","91.9","92.5","10","250","26700","34400","42300"
202223,"Tax year","National","K02000001","United Kingdom","2011/2012","10 YAG","First-degree","Female","CAH02-04","Nursing and midwifery","CAH02-04-01","Nursing (non-specific)",3450,3390,"5.8","1.7","3195","6.1","2.6","76.2","90.4","91.3","15.1","2330","24800","36100","45300"
201920,"Tax year","National","K02000001","United Kingdom","2008/2009","10 YAG","Level 7","Female","CAH17-01","Business and management","CAH17-01-04","Management studies",2550,2465,"11.6","3.4","2175","10.4","4.6","80.1","84.4","85.1","4.9","1615","25300","40600","58200"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","Level 7","Male","CAH17-01","Business and management","CAH17-01-04","Management studies",3175,3055,"6.7","3.8","2855","10","4.5","79.5","84.6","85.5","6","2180","33600","52600","77000"
202021,"Tax year","National","K02000001","United Kingdom","2009/2010","10 YAG","First-degree","Male","CAH10-01","Engineering","CAH10-01-07","Civil engineering",1670,1585,"1.8","5.1","1555","9.2","3.9","83.1","86.6","86.9","3.7","1250","33900","44200","57300"
202021,"Tax year","National","K02000001","United Kingdom","2009/2010","10 YAG","First-degree","Male","CAH10-01","Engineering","CAH10-01-02","Mechanical engineering",2215,2105,"2.2","4.8","2060","9.4","3.2","82.8","86.4","87.4","4.6","1670","35800","46400","58400"
202021,"Tax year","National","K02000001","United Kingdom","2009/2010","10 YAG","First-degree","Male","CAH10-01","Engineering","CAH10-01-08","Electrical and electronic engineering",2110,2045,"2.3","3.2","1995","9.1","4.1","83.9","86.4","86.8","2.9","1620","29600","42300","57300"
201819,"Tax year","National","K02000001","United Kingdom","2014/2015","3 YAG","Level 7","Female","CAH17-01","Business and management","CAH17-01-04","Management studies",3330,3275,"4.3","1.8","3130","6.4","3.4","79.1","89.5","90.3","11.1","2425","31000","41200","53300"
201819,"Tax year","National","K02000001","United Kingdom","2007/2008","10 YAG","Level 7","Female","CAH01-01","Medicine and dentistry","CAH01-01-02","Medicine (non-specific)",1135,1075,"11.5","4.9","955","11.8","3.1","76.1","84.2","85.1","9","685","23400","40200","57200"
201920,"Tax year","National","K02000001","United Kingdom","2013/2014","5 YAG","Level 7","Female","CAH25-02","Performing arts","CAH25-02-03","Drama",360,350,"2.1","3.6","340","6.5","3.3","80","89","90.2","10.2","225","13900","23100","31800"
201718,"Tax year","National","K02000001","United Kingdom","2015/2016","1 YAG","First-degree","Female","CAH02-04","Nursing and midwifery","CAH02-04-03","Community nursing",920,920,"1.7","0.3","905","2.3","3.1","78.9","94.2","94.6","15.7","705","22300","27400","32100"
202021,"Tax year","National","K02000001","United Kingdom","2018/2019","1 YAG","First-degree","Female","CAH22-01","Education and teaching","CAH22-01-01","Education",8360,8320,"0.2","0.5","8300","2.1","6.6","57.9","84.3","91.4","33.4","4695","12000","16400","20800"
202122,"Tax year","National","K02000001","United Kingdom","2010/2011","10 YAG","Level 7","Female","CAH17-01","Business and management","CAH17-01-04","Management studies",2910,2810,"9.8","3.4","2535","11","3.5","80.3","84.5","85.5","5.2","1900","26300","44200","65000"
201819,"Tax year","National","K02000001","United Kingdom","2014/2015","3 YAG","First-degree","Male","CAH03-01","Biosciences","CAH03-01-06","Zoology",300,280,"0","6","280","7.8","8.9","61.4","75.9","83.3","21.9","170","15000","20100","24800"
202223,"Tax year","National","K02000001","United Kingdom","2018/2019","3 YAG","First-degree","Female","CAH19-01","English studies","CAH19-01-01","English studies (non-specific)",3905,3790,"0.7","2.9","3765","3","6.2","72.9","86.9","90.7","17.8","2690","21500","26300","30700"
202223,"Tax year","National","K02000001","United Kingdom","2020/2021","1 YAG","Level 7","Female","CAH23-01","Combined and general studies","CAH23-01-02","Personal development",415,415,"1.5","0.4","405","3","3.5","62.3","87.7","93.6","31.3","250","24100","30300","41600"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","Level 7","Female","CAH02-06","Allied health","CAH02-06-01","Health sciences (non-specific)",2050,2000,"6.8","2.3","1865","5.5","3","78.5","90.2","91.5","13","1385","21900","32100","42000"
