"time_period","time_identifier","geographic_level","country_code","country_name","academic_year","YAG","qualification_level","sex","CAH2_code","CAH2_subject","CAH3_code","CAH3_subject","grads","grads_uk","unmatched_percent","overseas_percent","matched","activity_not_captured","no_sust_dest","sust_emp_only","sust_emp_with_or_without_fs","sust_emp_fs_or_both","fs_with_or_without_sust_emp","earnings_include","earnings_LQ","earnings_median","earnings_UQ"
201819,"Tax year","National","K02000001","United Kingdom","2014/2015","3 YAG","Level 7","Female","CAH24-01","Media, journalism and communications","CAH24-01-05","Media studies",275,270,"3.4","2.4","260","9.7","5.1","75.1","83.7","85.2","10.1","180","16500","27400","33900"
201920,"Tax year","National","K02000001","United Kingdom","2017/2018","1 YAG","First-degree","Male","CAH03-01","Biosciences","CAH03-01-06","Zoology",335,315,"0.3","6","315","2.2","11.5","51.2","71.9","86.3","35.1","155","10200","15700","20500"
202021,"Tax year","National","K02000001","United Kingdom","2016/2017","3 YAG","First-degree","Female","CAH02-04","Nursing and midwifery","CAH02-04-08","Learning disabilities nursing",325,320,"0.3","0.6","320","2.5","5","82","91.9","92.5","10.6","260","26300","32100","38700"
202021,"Tax year","National","K02000001","United Kingdom","2018/2019","1 YAG","Level 7","Male","CAH04-01","Psychology","CAH04-01-05","Others in psychology",205,200,"1.5","2.5","195","5.3","3.8","64","86.7","90.9","27","120","24100","32800","38000"
201819,"Tax year","National","K02000001","United Kingdom","2016/2017","1 YAG","First-degree","Male","CAH19-01","English studies","CAH19-01-05","Creative writing",460,455,"0.9","2","450","4.9","11.7","55.3","72.9","83.4","28.1","235","9500","14600","19300"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","First-degree","Female","CAH24-01","Media, journalism and communications","CAH24-01-03","Publishing",95,95,"4.3","2.6","90","2.8","7.7","85.8","89.5","89.5","3.7","75","19000","25900","30700"
201920,"Tax year","National","K02000001","United Kingdom","2015/2016","3 YAG","Level 7","Male","CAH25-01","Creative arts and design","CAH25-01-04","Cinematics and photography",180,170,"2","5","170","11","6","73.2","81.8","83","9.8","110","14300","22700","26700"
201920,"Tax year","National","K02000001","United Kingdom","2017/2018","1 YAG","Level 8","Female","CAH20-01","History and archaeology","CAH20-01-01","History",140,135,"2.5","4.3","130","9.9","8.5","74.3","81.3","81.5","7.3","90","16100","23400","31500"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","First-degree","Male","CAH06-01","Agriculture, food and related studies","CAH06-01-03","Agriculture",310,300,"1.3","2.2","295","10.6","7.1","68.3","79.5","82.4","14.1","190","17200","25600","31800"
202223,"Tax year","National","K02000001","United Kingdom","2016/2017","5 YAG","Level 8","Female","CAH20-01","History and archaeology","CAH20-01-03","Archaeology",40,40,"5","5.9","40","11.9","6.6","78.9","81.5","81.5","2.6","30","23400","35400","40200"
202223,"Tax year","National","K02000001","United Kingdom","2011/2012","10 YAG","Level 7","Female","CAH15-01","Sociology, social policy and anthropology","CAH15-01-04","Anthropology",205,190,"6.3","5.7","180","14","1.7","71.8","82.3","84.3","12.5","120","20500","35400","50000"
202223,"Tax year","National","K02000001","United Kingdom","2011/2012","10 YAG","Level 7","Female","CAH20-01","History and archaeology","CAH20-01-03","Archaeology",195,185,"5.1","3.4","175","11.6","3.7","75.1","81.9","84.7","9.6","125","19700","27300","36500"
202324,"Tax year","National","K02000001","United Kingdom","2019/2020","3 YAG","First-degree","Female","CAH02-04","Nursing and midwifery","CAH02-04-08","Learning disabilities nursing",360,360,"0.8","0.4","360","2.2","4.6","79.9","91.8","93.2","13.3","285","28900","35900","43600"
202122,"Tax year","National","K02000001","United Kingdom","2017/2018","3 YAG","Level 7","Male","CAH13-01","Architecture, building and planning","CAH13-01-01","Architecture",1125,1075,"1.7","4.6","1055","6.4","3.8","77.8","88.6","89.8","12","800","29900","36900","44500"
202122,"Tax year","National","K02000001","United Kingdom","2019/2020","1 YAG","Level 7","Female","CAH02-04","Nursing and midwifery","CAH02-04-02","Adult nursing",550,540,"1.5","1.3","535","0.7","3.4","78.6","94.9","95.8","17.2","415","26300","30700","39400"
202021,"Tax year","National","K02000001","United Kingdom","2009/2010","10 YAG","First-degree","Female","CAH24-01","Media, journalism and communications","CAH24-01-04","Journalism",850,825,"2.1","2.9","810","8","5.1","81.6","85.7","86.9","5.3","620","19000","28100","37600"
202122,"Tax year","National","K02000001","United Kingdom","2010/2011","10 YAG","First-degree","Male","CAH17-01","Business and management","CAH17-01-06","Tourism, transport and travel",1480,1425,"2","3.7","1395","10.8","4.9","80.7","83.9","84.3","3.6","1070","24500","32500","44200"
202122,"Tax year","National","K02000001","United Kingdom","2019/2020","1 YAG","Level 7","Female","CAH02-04","Nursing and midwifery","CAH02-04-09","Others in nursing",800,795,"1.1","0.7","790","3.1","1.7","71.6","93.5","95.2","23.6","555","31800","40500","47800"
202122,"Tax year","National","K02000001","United Kingdom","2019/2020","1 YAG","First-degree","Female","CAH02-04","Nursing and midwifery","CAH02-04-01","Nursing (non-specific)",980,975,"1.8","0.4","955","2","2.1","74.2","94.4","95.9","21.6","700","26300","31800","40200"
202021,"Tax year","National","K02000001","United Kingdom","2009/2010","10 YAG","First-degree","Female","CAH13-01","Architecture, building and planning","CAH13-01-04","Planning (urban, rural and regional)",400,395,"3.2","2.2","380","8.6","4.1","84.2","86.7","87.3","3.1","310","22600","35000","48200"
201920,"Tax year","National","K02000001","United Kingdom","2015/2016","3 YAG","First-degree","Male","CAH01-01","Medicine and dentistry","CAH01-01-04","Dentistry",345,340,"0.9","1.5","335","3.6","1.5","75","93.2","94.9","19.9","210","42400","56800","77300"
201920,"Tax year","National","K02000001","United Kingdom","2008/2009","10 YAG","First-degree","Male","CAH02-02","Pharmacology, toxicology and pharmacy","CAH02-02-03","Pharmacy",705,695,"2","1.1","680","9.3","3.2","69.1","85.7","87.4","18.3","455","20000","42500","52700"
201819,"Tax year","National","K02000001","United Kingdom","2016/2017","1 YAG","First-degree","Female","CAH20-01","History and archaeology","CAH20-01-01","History",4315,4175,"0.4","3.2","4155","2.6","6","52.7","82","91.4","38.7","2145","14200","19000","23700"
201819,"Tax year","National","K02000001","United Kingdom","2007/2008","10 YAG","First-degree","Male","CAH02-05","Medical sciences","CAH02-05-03","Biomedical sciences (non-specific)",100,90,"1.1","8.4","90","7.6","2.2","81.3","89.1","90.2","8.9","70","33600","47000","62400"
202122,"Tax year","National","K02000001","United Kingdom","2015/2016","5 YAG","Level 8","Female","CAH04-01","Psychology","CAH04-01-01","Psychology (non-specific)",330,320,"2.2","2","315","4.9","1.6","88.4","93.5","93.5","5.1","270","29900","38000","46400"
202324,"Tax year","National","K02000001","United Kingdom","2012/2013","10 YAG","First-degree","Male","CAH20-01","History and archaeology","CAH20-01-05","Classics",345,330,"0.9","5","325","9.7","5","81.1","84.5","85.3","4.2","260","34000","52000","77200"
201819,"Tax year","National","K02000001","United Kingdom","2007/2008","10 YAG","First-degree","Male","CAH13-01","Architecture, building and planning","CAH13-01-04","Planning (urban, rural and regional)",640,615,"1.1","3.9","605","8.9","4","84.5","86.9","87.1","2.5","495","28500","40200","60600"
202021,"Tax year","National","K02000001","United Kingdom","2014/2015","5 YAG","Level 8","Female","CAH01-01","Medicine and dentistry","CAH01-01-02","Medicine (non-specific)",675,645,"5.4","4.5","610","10.3","4.3","80.6","85.1","85.4","4.8","475","33600","44200","68600"
202324,"Tax year","National","K02000001","United Kingdom","2012/2013","10 YAG","First-degree","Male","CAH10-03","Materials and technology","CAH10-03-06","Others in technology",955,915,"0.6","4","910","9.4","4.9","83.6","85.2","85.6","2","725","25600","36200","50900"
201718,"Tax year","National","K02000001","United Kingdom","2015/2016","1 YAG","Level 7","Male","CAH15-01","Sociology, social policy and anthropology","CAH15-01-03","Social policy",365,355,"2.5","3.1","345","10.9","4.3","70.9","81.7","84.7","13.8","235","26600","35000","49600"
202021,"Tax year","National","K02000001","United Kingdom","2009/2010","10 YAG","Level 7","Male","CAH25-02","Performing arts","CAH25-02-02","Music",410,385,"6.5","6.2","360","8.8","1.4","82.9","89.5","89.8","6.9","255","17900","29200","40500"
201920,"Tax year","National","K02000001","United Kingdom","2015/2016","3 YAG","First-degree","Female","CAH25-01","Creative arts and design","CAH25-01-05","Others in creative arts and design",475,465,"0.9","1.7","460","5.2","12.1","73.2","80.5","82.8","9.6","320","11300","17600","23100"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","First-degree","Female","CAH02-02","Pharmacology, toxicology and pharmacy","CAH02-02-02","Toxicology",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2015/2016","1 YAG","Level 7","Male","CAH02-02","Pharmacology, toxicology and pharmacy","CAH02-02-03","Pharmacy",270,270,"1.1","0.7","270","3.4","2.4","61.9","91.4","94.2","32.3","165","29900","41200","47800"
202021,"Tax year","National","K02000001","United Kingdom","2009/2010","10 YAG","Level 7","Female","CAH03-01","Biosciences","CAH03-01-10","Others in biosciences",150,145,"9.5","2.9","130","9.5","3.8","79.9","85.9","86.7","6.7","100","21200","32500","44500"
201819,"Tax year","National","K02000001","United Kingdom","2007/2008","10 YAG","First-degree","Male","CAH24-01","Media, journalism and communications","CAH24-01-02","Publicity studies",120,115,"0.9","6.6","110","8.5","5.5","83.3","85.1","85.9","2.7","90","21900","34700","53700"
201819,"Tax year","National","K02000001","United Kingdom","2014/2015","3 YAG","Level 7","Male","CAH17-01","Business and management","CAH17-01-03","Marketing",290,275,"5.1","5.7","260","13.1","9.3","73.6","77.4","77.6","4","185","24800","33200","47800"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","First-degree","Female","CAH20-01","History and archaeology","CAH20-01-03","Archaeology",415,395,"1","4.5","390","5.2","6.2","66.6","83.5","88.6","22.1","250","16800","20400","25600"
201718,"Tax year","National","K02000001","United Kingdom","2015/2016","1 YAG","Level 7","Female","CAH03-01","Biosciences","CAH03-01-10","Others in biosciences",150,145,"4.3","1.8","140","5.6","8.1","64.4","82.5","86.3","22","90","19000","24800","34300"
202223,"Tax year","National","K02000001","United Kingdom","2018/2019","3 YAG","First-degree","Female","CAH02-04","Nursing and midwifery","CAH02-04-01","Nursing (non-specific)",1600,1585,"1","0.9","1570","2.7","2.5","69.4","92.9","94.9","25.4","1070","27000","34700","42700"
201819,"Tax year","National","K02000001","United Kingdom","2007/2008","10 YAG","First-degree","Male","CAH03-01","Biosciences","CAH03-01-06","Zoology",190,180,"0.6","4.8","180","11.4","3.9","74.3","82.4","84.7","10.4","125","23400","29900","38700"
201819,"Tax year","National","K02000001","United Kingdom","2007/2008","10 YAG","First-degree","Male","CAH06-01","Agriculture, food and related studies","CAH06-01-01","Animal science",85,85,"0","2.3","85","10.7","5.9","74","83.4","83.4","9.5","60","22300","31800","44500"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","Level 7","Female","CAH15-01","Sociology, social policy and anthropology","CAH15-01-02","Sociology",505,490,"5.2","3.4","465","8.9","4.1","70","83.5","87.1","17.1","310","19000","28500","37200"
202122,"Tax year","National","K02000001","United Kingdom","2010/2011","10 YAG","Level 7","Female","CAH02-02","Pharmacology, toxicology and pharmacy","CAH02-02-03","Pharmacy",315,305,"10.2","3.2","275","7.7","2.9","78.1","89.1","89.4","11.3","205","29600","43100","51500"
201920,"Tax year","National","K02000001","United Kingdom","2008/2009","10 YAG","First-degree","Male","CAH19-01","English studies","CAH19-01-03","Literature in English",420,405,"3.6","3.4","390","10.4","3.4","80.3","85.2","86.2","5.9","300","22700","32600","46500"
201920,"Tax year","National","K02000001","United Kingdom","2008/2009","10 YAG","First-degree","Male","CAH19-01","English studies","CAH19-01-05","Creative writing",355,340,"1.9","3.4","335","9.2","9.5","76.5","80.3","81.3","4.8","245","17900","24900","35100"
202122,"Tax year","National","K02000001","United Kingdom","2017/2018","3 YAG","Level 7","Female","CAH02-04","Nursing and midwifery","CAH02-04-05","Children's nursing",220,220,"0","1.8","220","0.5","2.1","77","95.6","97.5","20.5","165","27700","34300","43800"
202021,"Tax year","National","K02000001","United Kingdom","2016/2017","3 YAG","Level 7","Male","CAH01-01","Medicine and dentistry","CAH01-01-02","Medicine (non-specific)",1140,1100,"2","3.3","1080","8.2","3.2","64.5","84.1","88.6","24.1","665","40900","56900","81000"
202021,"Tax year","National","K02000001","United Kingdom","2016/2017","3 YAG","Level 7","Female","CAH06-01","Agriculture, food and related studies","CAH06-01-03","Agriculture",30,30,"3.3","0","30","0","3.4","84.3","89.9","96.6","12.4","25","23700","29200","38000"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","Level 8","Female","CAH04-01","Psychology","CAH04-01-04","Psychology and health",145,140,"6.7","4.1","130","2.8","3.1","85.8","94.2","94.2","8.4","110","18600","25200","38700"
201819,"Tax year","National","K02000001","United Kingdom","2012/2013","5 YAG","Level 7","Male","CAH01-01","Medicine and dentistry","CAH01-01-02","Medicine (non-specific)",890,845,"4.1","5","810","8.9","3.8","70.9","84.9","87.3","16.3","545","39800","60600","92700"
201920,"Tax year","National","K02000001","United Kingdom","2015/2016","3 YAG","Level 7","Female","CAH03-01","Biosciences","CAH03-01-10","Others in biosciences",150,145,"4.3","2.1","140","7","6.2","66.9","83.5","86.7","19.8","90","21600","28900","37700"
202223,"Tax year","National","K02000001","United Kingdom","2020/2021","1 YAG","First-degree","Male","CAH10-01","Engineering","CAH10-01-02","Mechanical engineering",3880,3825,"0.7","1.4","3795","2.9","5.9","73.2","86.2","91.3","18.1","2735","24800","29600","35000"
202324,"Tax year","National","K02000001","United Kingdom","2021/2022","1 YAG","First-degree","Male","CAH17-01","Business and management","CAH17-01-04","Management studies",2710,2660,"1.2","1.9","2630","5.9","8.2","69.5","82.6","85.9","16.4","1785","24900","34300","48700"
202324,"Tax year","National","K02000001","United Kingdom","2012/2013","10 YAG","First-degree","Female","CAH03-01","Biosciences","CAH03-01-03","Ecology and environmental biology",270,255,"1.2","5.3","255","7.7","5.9","80.7","85.4","86.4","5.7","195","23400","31800","41700"
202122,"Tax year","National","K02000001","United Kingdom","2010/2011","10 YAG","Level 7","Female","CAH04-01","Psychology","CAH04-01-04","Psychology and health",280,275,"5.7","2.4","260","8.6","2.3","82.1","88.7","89.1","6.9","200","21900","35400","43400"
201819,"Tax year","National","K02000001","United Kingdom","2012/2013","5 YAG","First-degree","Female","CAH03-01","Biosciences","CAH03-01-08","Molecular biology, biophysics and biochemistry",1200,1155,"1.1","4","1140","5.5","5.1","65.1","84.2","89.3","24.3","725","21200","28100","33900"
202324,"Tax year","National","K02000001","United Kingdom","2012/2013","10 YAG","First-degree","Male","CAH19-04","Languages and area studies","CAH19-04-06","Asian studies",205,180,"1.7","13.7","175","25.4","8.8","62.2","65.5","65.8","3.6","100","26400","40600","65900"
201920,"Tax year","National","K02000001","United Kingdom","2008/2009","10 YAG","First-degree","Female","CAH02-04","Nursing and midwifery","CAH02-04-05","Children's nursing",480,470,"5.3","1.3","450","6.1","1.1","83","92.5","92.7","9.7","360","21200","28900","35900"
202021,"Tax year","National","K02000001","United Kingdom","2016/2017","3 YAG","First-degree","Male","CAH19-01","English studies","CAH19-01-03","Literature in English",695,675,"1","3.2","665","7.4","7.5","68.9","79.7","85.1","16.2","445","17500","23400","28800"
202324,"Tax year","National","K02000001","United Kingdom","2019/2020","3 YAG","Level 7","Male","CAH16-01","Law","CAH16-01-01","Law",3285,3220,"3.1","2.1","3115","5.7","4.8","83.3","88.3","89.5","6.3","2520","31100","47900","78300"
202223,"Tax year","National","K02000001","United Kingdom","2011/2012","10 YAG","First-degree","Male","CAH03-01","Biosciences","CAH03-01-07","Genetics",110,100,"2","8.8","95","7.9","2.1","82","86.6","90","8.1","80","32500","43400","58800"
202324,"Tax year","National","K02000001","United Kingdom","2012/2013","10 YAG","First-degree","Female","CAH15-04","Health and social care","CAH15-04-03","Health studies",955,945,"1.7","0.9","930","6.9","6.1","78.2","85.8","87","8.8","690","18700","27100","38400"
201819,"Tax year","National","K02000001","United Kingdom","2012/2013","5 YAG","First-degree","Male","CAH13-01","Architecture, building and planning","CAH13-01-01","Architecture",1520,1470,"1.5","3.4","1445","5.5","4.8","63.9","87","89.7","25.8","880","23000","28800","35800"
202122,"Tax year","National","K02000001","United Kingdom","2017/2018","3 YAG","Level 7","Female","CAH02-06","Allied health","CAH02-06-07","Counselling, psychotherapy and occupational therapy",1365,1350,"3.6","1.2","1300","4.8","2.9","79.1","90.8","92.3","13.2","945","19700","29200","36500"
202122,"Tax year","National","K02000001","United Kingdom","2019/2020","1 YAG","Level 7","Female","CAH02-05","Medical sciences","CAH02-05-02","Healthcare science (non-specific)",265,265,"1.3","1.1","260","2.3","4.4","78.3","92.3","93.2","14.9","200","30700","38700","45600"
202223,"Tax year","National","K02000001","United Kingdom","2018/2019","3 YAG","Level 7","Male","CAH10-01","Engineering","CAH10-01-09","Chemical, process and energy engineering",280,275,"1.9","3","270","6.8","3.5","70.6","86.2","89.7","19.2","185","31800","40500","50700"
202021,"Tax year","National","K02000001","United Kingdom","2009/2010","10 YAG","First-degree","Male","CAH20-02","Philosophy and religious studies","CAH20-02-01","Philosophy",1025,970,"1.6","5.3","955","11.8","5.1","75.8","81.9","83","7.2","690","25200","37600","57700"
201819,"Tax year","National","K02000001","United Kingdom","2016/2017","1 YAG","First-degree","Female","CAH02-04","Nursing and midwifery","CAH02-04-09","Others in nursing",800,795,"0.8","0.5","790","3","2.8","68.7","89.1","94.2","25.5","535","20100","29600","36500"
202324,"Tax year","National","K02000001","United Kingdom","2021/2022","1 YAG","First-degree","Male","CAH16-01","Law","CAH16-01-01","Law",4675,4620,"0.6","1.2","4590","3.6","7.3","46.9","75.6","89.1","42.1","2110","20100","24500","30400"
202122,"Tax year","National","K02000001","United Kingdom","2010/2011","10 YAG","First-degree","Female","CAH03-01","Biosciences","CAH03-01-04","Microbiology and cell science",175,170,"3.9","1.1","165","8.8","8.9","74.3","81.8","82.4","8.1","120","23400","33200","44500"
202324,"Tax year","National","K02000001","United Kingdom","2021/2022","1 YAG","First-degree","Female","CAH24-01","Media, journalism and communications","CAH24-01-05","Media studies",2025,1980,"0.7","2.2","1970","3.5","10.3","70.8","82.1","86.3","15.5","1365","16500","22000","25600"
202324,"Tax year","National","K02000001","United Kingdom","2021/2022","1 YAG","First-degree","Female","CAH25-01","Creative arts and design","CAH25-01-03","Design studies",7395,7215,"0.8","2.5","7160","3.7","12.2","74.9","81.2","84.1","9.2","5175","15700","22000","25300"
201819,"Tax year","National","K02000001","United Kingdom","2014/2015","3 YAG","First-degree","Male","CAH11-01","Computing","CAH11-01-04","Software engineering",500,485,"0.6","2.2","485","5.9","7.6","81.6","85.2","86.5","4.9","385","20400","28500","37200"
201819,"Tax year","National","K02000001","United Kingdom","2012/2013","5 YAG","Level 7","Male","CAH20-01","History and archaeology","CAH20-01-01","History",950,895,"3.7","5.7","860","8.1","3.8","72","84.6","88.1","16.1","585","20100","28500","38300"
202122,"Tax year","National","K02000001","United Kingdom","2010/2011","10 YAG","Level 7","Female","CAH11-01","Computing","CAH11-01-01","Computer science",190,180,"14.1","6.3","155","16.7","5.6","72.4","77.3","77.7","5.3","105","24500","38700","64200"
202223,"Tax year","National","K02000001","United Kingdom","2011/2012","10 YAG","Level 7","Female","CAH25-01","Creative arts and design","CAH25-01-02","Art",435,420,"8.1","3.7","385","15.6","10.2","66.7","73.1","74.2","7.5","225","12000","24100","35400"
201819,"Tax year","National","K02000001","United Kingdom","2007/2008","10 YAG","First-degree","Female","CAH09-01","Mathematical sciences","CAH09-01-03","Statistics",80,80,"3.3","4.6","75","9.7","4.1","85.2","86.3","86.3","1.1","65","23000","36900","58000"
202122,"Tax year","National","K02000001","United Kingdom","2015/2016","5 YAG","Level 7","Female","CAH23-01","Combined and general studies","CAH23-01-02","Personal development",270,265,"2","1","260","9.8","4.1","65.9","80.8","86.1","20.3","160","21900","33600","42300"
202223,"Tax year","National","K02000001","United Kingdom","2011/2012","10 YAG","First-degree","Male","CAH11-01","Computing","CAH11-01-03","Information systems",1505,1480,"2.5","1.5","1445","9.1","5.5","82.6","85.1","85.4","2.9","1155","31400","46000","66800"
202122,"Tax year","National","K02000001","United Kingdom","2015/2016","5 YAG","Level 7","Male","CAH23-01","Combined and general studies","CAH23-01-02","Personal development",120,120,"2.8","0","115","4.4","4.4","66.8","89.5","91.3","24.5","70","23700","37600","49600"
201920,"Tax year","National","K02000001","United Kingdom","2017/2018","1 YAG","Level 7","Male","CAH15-01","Sociology, social policy and anthropology","CAH15-01-03","Social policy",390,380,"1.8","2.4","375","9.9","6.2","69.2","81.7","83.9","14.7","245","23400","30700","43200"
202122,"Tax year","National","K02000001","United Kingdom","2015/2016","5 YAG","Level 8","Male","CAH04-01","Psychology","CAH04-01-04","Psychology and health",45,40,"2.4","4.6","40","11.5","0","73.8","88.5","88.5","14.8","30","39300","46000","52000"
202021,"Tax year","National","K02000001","United Kingdom","2009/2010","10 YAG","Level 7","Male","CAH17-01","Business and management","CAH17-01-03","Marketing",300,290,"11","4.6","255","19.1","3.3","73.3","77.2","77.6","4.3","180","31400","47400","69000"
201718,"Tax year","National","K02000001","United Kingdom","2006/2007","10 YAG","First-degree","Female","CAH06-01","Agriculture, food and related studies","CAH06-01-01","Animal science",625,610,"3.7","2.2","585","8.1","4","82.8","87.9","87.9","5.1","460","13500","22600","32500"
201718,"Tax year","National","K02000001","United Kingdom","2006/2007","10 YAG","First-degree","Female","CAH06-01","Agriculture, food and related studies","CAH06-01-03","Agriculture",280,270,"7.2","2.5","250","12.5","5.3","79.5","81.8","82.2","2.7","185","12800","19000","29600"
201718,"Tax year","National","K02000001","United Kingdom","2015/2016","1 YAG","Level 7","Male","CAH20-01","History and archaeology","CAH20-01-03","Archaeology",115,110,"1.8","2.2","110","10","5.9","61.6","78.2","84","22.4","65","15300","19700","24800"
201718,"Tax year","National","K02000001","United Kingdom","2015/2016","1 YAG","Level 7","Male","CAH20-01","History and archaeology","CAH20-01-01","History",830,810,"3.4","2.5","780","8.2","5.9","58.2","77.5","85.9","27.7","430","17200","23400","31800"
201920,"Tax year","National","K02000001","United Kingdom","2008/2009","10 YAG","First-degree","Male","CAH02-06","Allied health","CAH02-06-01","Health sciences (non-specific)",770,740,"1.4","3.4","730","8.9","2.5","74.3","87.7","88.5","14.2","525","27800","41000","56400"
202223,"Tax year","National","K02000001","United Kingdom","2018/2019","3 YAG","Level 7","Male","CAH15-01","Sociology, social policy and anthropology","CAH15-01-03","Social policy",455,440,"3.2","2.8","425","7.4","5.4","69.9","83.9","87.1","17.3","285","29900","40200","55100"
201718,"Tax year","National","K02000001","United Kingdom","2006/2007","10 YAG","First-degree","Male","CAH02-06","Allied health","CAH02-06-05","Physiotherapy",460,440,"0.9","4.6","435","7.6","3","71.2","88.5","89.4","18.2","300","25400","31800","38700"
202223,"Tax year","National","K02000001","United Kingdom","2011/2012","10 YAG","First-degree","Male","CAH25-02","Performing arts","CAH25-02-04","Dance",135,130,"0.8","3.9","130","7","7.6","77.1","85.3","85.3","8.2","85","17700","26600","40500"
202122,"Tax year","National","K02000001","United Kingdom","2017/2018","3 YAG","Level 7","Male","CAH02-04","Nursing and midwifery","CAH02-04-01","Nursing (non-specific)",370,370,"1.6","0.8","360","3.9","0.7","66.9","94.6","95.4","28.6","235","39100","46700","56200"
201920,"Tax year","National","K02000001","United Kingdom","2015/2016","3 YAG","Level 7","Female","CAH09-01","Mathematical sciences","CAH09-01-01","Mathematics",110,105,"2.8","4.5","105","6.6","4.2","66.7","83.5","89.3","22.6","70","24900","32600","42800"
201718,"Tax year","National","K02000001","United Kingdom","2006/2007","10 YAG","Level 7","Male","CAH04-01","Psychology","CAH04-01-01","Psychology (non-specific)",325,310,"7.4","3.5","290","10","3.1","75.5","85.8","86.9","11.4","195","22300","34300","43600"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","Level 8","Male","CAH02-02","Pharmacology, toxicology and pharmacy","CAH02-02-01","Pharmacology",25,25,"9.5","3.7","25","14","0","81.8","86","86","4.2","15","33600","38000","68300"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","Level 8","Female","CAH04-01","Psychology","CAH04-01-05","Others in psychology",240,230,"8.4","4.2","210","5.9","1.9","82.7","91.7","92.2","9.5","170","21200","29900","39800"
202223,"Tax year","National","K02000001","United Kingdom","2018/2019","3 YAG","Level 8","Male","CAH22-01","Education and teaching","CAH22-01-01","Education",130,125,"1.6","4.6","120","12.3","0","80.6","86.8","87.7","7.1","85","38000","46500","59900"
202122,"Tax year","National","K02000001","United Kingdom","2015/2016","5 YAG","Level 8","Female","CAH04-01","Psychology","CAH04-01-05","Others in psychology",185,180,"3.6","4.5","170","5","3.3","84.7","90.5","91.7","7","135","27700","38000","45400"
202122,"Tax year","National","K02000001","United Kingdom","2017/2018","3 YAG","Level 8","Male","CAH11-01","Computing","CAH11-01-01","Computer science",210,200,"2.3","5.8","195","12.1","3.1","80.3","84.9","84.9","4.5","145","38300","50000","81400"
201920,"Tax year","National","K02000001","United Kingdom","2017/2018","1 YAG","First-degree","Female","CAH02-06","Allied health","CAH02-06-05","Physiotherapy",780,775,"0.6","0.5","770","2.7","3","90.1","93.6","94.3","4.2","685","23100","24100","25600"
202122,"Tax year","National","K02000001","United Kingdom","2010/2011","10 YAG","First-degree","Male","CAH26-01","Geography, earth and environmental studies","CAH26-01-04","Environmental sciences",400,380,"0.8","5.5","375","10","4.7","80.7","84.6","85.4","4.7","290","26600","34700","47100"
201819,"Tax year","National","K02000001","United Kingdom","2007/2008","10 YAG","Level 8","Female","CAH19-01","English studies","CAH19-01-01","English studies (non-specific)",85,85,"11.2","2.3","75","13.3","8","77.3","78.7","78.7","1.3","55","25000","38000","48200"
202324,"Tax year","National","K02000001","United Kingdom","2012/2013","10 YAG","First-degree","Female","CAH20-01","History and archaeology","CAH20-01-03","Archaeology",390,380,"0.4","2.8","380","8.8","4.7","78.7","85.6","86.5","7.8","285","22000","31100","42100"
202122,"Tax year","National","K02000001","United Kingdom","2010/2011","10 YAG","Level 7","Female","CAH23-01","Combined and general studies","CAH23-01-03","Humanities (non-specific)",75,75,"13.1","1.3","65","21.2","3","65.2","74.3","75.8","10.6","35","8200","18200","31000"
201920,"Tax year","National","K02000001","United Kingdom","2013/2014","5 YAG","Level 7","Male","CAH04-01","Psychology","CAH04-01-01","Psychology (non-specific)",500,470,"2.6","5.5","460","8.6","2.8","66.1","85.3","88.6","22.5","275","23400","32900","43600"
202324,"Tax year","National","K02000001","United Kingdom","2012/2013","10 YAG","Level 7","Female","CAH02-02","Pharmacology, toxicology and pharmacy","CAH02-02-03","Pharmacy",410,400,"4.4","3.2","380","9.7","3.4","76.1","85.8","86.9","10.7","290","31100","44300","55300"
202021,"Tax year","National","K02000001","United Kingdom","2009/2010","10 YAG","First-degree","Male","CAH07-04","General, applied and forensic sciences","CAH07-04-02","Forensic and archaeological sciences",495,480,"0.9","3","475","6","4","83.1","88.8","89.9","6.9","380","25600","33600","45300"
202021,"Tax year","National","K02000001","United Kingdom","2009/2010","10 YAG","Level 8","Female","CAH03-01","Biosciences","CAH03-01-08","Molecular biology, biophysics and biochemistry",130,120,"5","4.4","115","16.5","2.2","79.7","81.3","81.3","1.6","90","29900","41600","55500"
202324,"Tax year","National","K02000001","United Kingdom","2019/2020","3 YAG","First-degree","Female","CAH13-01","Architecture, building and planning","CAH13-01-01","Architecture",1040,1020,"0.9","2","1010","3.6","6.4","44.6","73.6","90.1","45.5","445","23100","27100","32200"
