Year,Subject group HECoS CAH1,Subject group HECoS CAH3,POLAR4 Quintile,Main scheme applicant,Main scheme application,Accepted applicants
2021,(CAH15) social sciences,(CAH15-04-02) childhood and youth studies,Quintile 1,All,All,790
2022,(CAH15) social sciences,(CAH15-04-02) childhood and youth studies,Quintile 1,All,All,710
2023,(CAH15) social sciences,(CAH15-04-02) childhood and youth studies,Quintile 1,All,All,570
2024,(CAH15) social sciences,(CAH15-04-02) childhood and youth studies,Quintile 1,All,All,535
2019,(CAH15) social sciences,(CAH15-04-01) social work,Quintile 1,All,All,1275
2020,(CAH15) social sciences,(CAH15-04-01) social work,Quintile 1,All,All,1410
2021,(CAH15) social sciences,(CAH15-04-01) social work,Quintile 1,All,All,1330
2022,(CAH15) social sciences,(CAH15-04-01) social work,Quintile 1,All,All,1285
2023,(CAH15) social sciences,(CAH15-04-01) social work,Quintile 1,All,All,1030
2024,(CAH15) social sciences,(CAH15-04-01) social work,Quintile 1,All,All,1060
2019,(CAH15) social sciences,(CAH15-01-01) social sciences (non-specific),Quintile 1,All,All,215
2020,(CAH15) social sciences,(CAH15-01-01) social sciences (non-specific),Quintile 1,All,All,225
2021,(CAH15) social sciences,(CAH15-01-01) social sciences (non-specific),Quintile 1,All,All,220
2022,(CAH15) social sciences,(CAH15-01-01) social sciences (non-specific),Quintile 1,All,All,210
2023,(CAH15) social sciences,(CAH15-01-01) social sciences (non-specific),Quintile 1,All,All,220
2024,(CAH15) social sciences,(CAH15-01-01) social sciences (non-specific),Quintile 1,All,All,195
2019,(CAH15) social sciences,(CAH15-04-03) health studies,Quintile 1,All,All,1320
2020,(CAH15) social sciences,(CAH15-04-03) health studies,Quintile 1,All,All,1040
2021,(CAH15) social sciences,(CAH15-04-03) health studies,Quintile 1,All,All,1120
2022,(CAH15) social sciences,(CAH15-04-03) health studies,Quintile 1,All,All,920
2023,(CAH15) social sciences,(CAH15-04-03) health studies,Quintile 1,All,All,790
2024,(CAH15) social sciences,(CAH15-04-03) health studies,Quintile 1,All,All,740
2019,(CAH15) social sciences,(CAH15-01-03) social policy,Quintile 1,All,All,305
2020,(CAH15) social sciences,(CAH15-01-03) social policy,Quintile 1,All,All,260
2021,(CAH15) social sciences,(CAH15-01-03) social policy,Quintile 1,All,All,240
2022,(CAH15) social sciences,(CAH15-01-03) social policy,Quintile 1,All,All,215
2023,(CAH15) social sciences,(CAH15-01-03) social policy,Quintile 1,All,All,225
2024,(CAH15) social sciences,(CAH15-01-03) social policy,Quintile 1,All,All,210
2019,(CAH15) social sciences,(CAH15-01-02) sociology,Quintile 1,All,All,2455
2020,(CAH15) social sciences,(CAH15-01-02) sociology,Quintile 1,All,All,2585
2021,(CAH15) social sciences,(CAH15-01-02) sociology,Quintile 1,All,All,2565
2022,(CAH15) social sciences,(CAH15-01-02) sociology,Quintile 1,All,All,2645
2023,(CAH15) social sciences,(CAH15-01-02) sociology,Quintile 1,All,All,2400
2024,(CAH15) social sciences,(CAH15-01-02) sociology,Quintile 1,All,All,2240
2019,(CAH15) social sciences,(CAH15-01-05) development studies,Quintile 1,All,All,20
2020,(CAH15) social sciences,(CAH15-01-05) development studies,Quintile 1,All,All,15
2021,(CAH15) social sciences,(CAH15-01-05) development studies,Quintile 1,All,All,25
2022,(CAH15) social sciences,(CAH15-01-05) development studies,Quintile 1,All,All,10
2023,(CAH15) social sciences,(CAH15-01-05) development studies,Quintile 1,All,All,20
2024,(CAH15) social sciences,(CAH15-01-05) development studies,Quintile 1,All,All,20
2019,(CAH15) social sciences,(CAH15-01-06) cultural studies,Quintile 1,All,All,25
2020,(CAH15) social sciences,(CAH15-01-06) cultural studies,Quintile 1,All,All,15
2021,(CAH15) social sciences,(CAH15-01-06) cultural studies,Quintile 1,All,All,15
2022,(CAH15) social sciences,(CAH15-01-06) cultural studies,Quintile 1,All,All,10
2023,(CAH15) social sciences,(CAH15-01-06) cultural studies,Quintile 1,All,All,10
2024,(CAH15) social sciences,(CAH15-01-06) cultural studies,Quintile 1,All,All,15
2019,(CAH03) biological and sport sciences,(CAH03-02-01) sport and exercise sciences,Quintile 1,All,All,2470
2020,(CAH03) biological and sport sciences,(CAH03-02-01) sport and exercise sciences,Quintile 1,All,All,2520
2021,(CAH03) biological and sport sciences,(CAH03-02-01) sport and exercise sciences,Quintile 1,All,All,2485
2022,(CAH03) biological and sport sciences,(CAH03-02-01) sport and exercise sciences,Quintile 1,All,All,2555
2023,(CAH03) biological and sport sciences,(CAH03-02-01) sport and exercise sciences,Quintile 1,All,All,2325
2024,(CAH03) biological and sport sciences,(CAH03-02-01) sport and exercise sciences,Quintile 1,All,All,2215
2019,(CAH03) biological and sport sciences,(CAH03-01-07) genetics,Quintile 1,All,All,30
2020,(CAH03) biological and sport sciences,(CAH03-01-07) genetics,Quintile 1,All,All,25
2021,(CAH03) biological and sport sciences,(CAH03-01-07) genetics,Quintile 1,All,All,35
2022,(CAH03) biological and sport sciences,(CAH03-01-07) genetics,Quintile 1,All,All,35
2023,(CAH03) biological and sport sciences,(CAH03-01-07) genetics,Quintile 1,All,All,20
2024,(CAH03) biological and sport sciences,(CAH03-01-07) genetics,Quintile 1,All,All,20
2019,(CAH03) biological and sport sciences,(CAH03-01-10) others in biosciences,Quintile 1,All,All,80
2020,(CAH03) biological and sport sciences,(CAH03-01-10) others in biosciences,Quintile 1,All,All,75
2021,(CAH03) biological and sport sciences,(CAH03-01-10) others in biosciences,Quintile 1,All,All,85
2022,(CAH03) biological and sport sciences,(CAH03-01-10) others in biosciences,Quintile 1,All,All,90
2023,(CAH03) biological and sport sciences,(CAH03-01-10) others in biosciences,Quintile 1,All,All,70
2024,(CAH03) biological and sport sciences,(CAH03-01-10) others in biosciences,Quintile 1,All,All,75
2019,(CAH03) biological and sport sciences,"(CAH03-01-08) molecular biology, biophysics and biochemistry",Quintile 1,All,All,320
2020,(CAH03) biological and sport sciences,"(CAH03-01-08) molecular biology, biophysics and biochemistry",Quintile 1,All,All,240
2021,(CAH03) biological and sport sciences,"(CAH03-01-08) molecular biology, biophysics and biochemistry",Quintile 1,All,All,280
2022,(CAH03) biological and sport sciences,"(CAH03-01-08) molecular biology, biophysics and biochemistry",Quintile 1,All,All,290
2023,(CAH03) biological and sport sciences,"(CAH03-01-08) molecular biology, biophysics and biochemistry",Quintile 1,All,All,320
2024,(CAH03) biological and sport sciences,"(CAH03-01-08) molecular biology, biophysics and biochemistry",Quintile 1,All,All,335
2019,(CAH03) biological and sport sciences,(CAH03-01-01) biosciences (non-specific),Quintile 1,All,All,265
2020,(CAH03) biological and sport sciences,(CAH03-01-01) biosciences (non-specific),Quintile 1,All,All,295
2021,(CAH03) biological and sport sciences,(CAH03-01-01) biosciences (non-specific),Quintile 1,All,All,285
2022,(CAH03) biological and sport sciences,(CAH03-01-01) biosciences (non-specific),Quintile 1,All,All,270
2023,(CAH03) biological and sport sciences,(CAH03-01-01) biosciences (non-specific),Quintile 1,All,All,290
2024,(CAH03) biological and sport sciences,(CAH03-01-01) biosciences (non-specific),Quintile 1,All,All,240
2019,(CAH03) biological and sport sciences,(CAH03-01-02) biology (non-specific),Quintile 1,All,All,420
2020,(CAH03) biological and sport sciences,(CAH03-01-02) biology (non-specific),Quintile 1,All,All,395
2021,(CAH03) biological and sport sciences,(CAH03-01-02) biology (non-specific),Quintile 1,All,All,380
2022,(CAH03) biological and sport sciences,(CAH03-01-02) biology (non-specific),Quintile 1,All,All,370
2023,(CAH03) biological and sport sciences,(CAH03-01-02) biology (non-specific),Quintile 1,All,All,355
2024,(CAH03) biological and sport sciences,(CAH03-01-02) biology (non-specific),Quintile 1,All,All,365
2019,(CAH03) biological and sport sciences,(CAH03-01-03) ecology and environmental biology,Quintile 1,All,All,210
2020,(CAH03) biological and sport sciences,(CAH03-01-03) ecology and environmental biology,Quintile 1,All,All,230
2021,(CAH03) biological and sport sciences,(CAH03-01-03) ecology and environmental biology,Quintile 1,All,All,250
2022,(CAH03) biological and sport sciences,(CAH03-01-03) ecology and environmental biology,Quintile 1,All,All,265
2023,(CAH03) biological and sport sciences,(CAH03-01-03) ecology and environmental biology,Quintile 1,All,All,230
2024,(CAH03) biological and sport sciences,(CAH03-01-03) ecology and environmental biology,Quintile 1,All,All,255
2019,(CAH03) biological and sport sciences,(CAH03-01-04) microbiology and cell science,Quintile 1,All,All,70
2020,(CAH03) biological and sport sciences,(CAH03-01-04) microbiology and cell science,Quintile 1,All,All,60
2021,(CAH03) biological and sport sciences,(CAH03-01-04) microbiology and cell science,Quintile 1,All,All,70
2022,(CAH03) biological and sport sciences,(CAH03-01-04) microbiology and cell science,Quintile 1,All,All,65
2023,(CAH03) biological and sport sciences,(CAH03-01-04) microbiology and cell science,Quintile 1,All,All,80
2024,(CAH03) biological and sport sciences,(CAH03-01-04) microbiology and cell science,Quintile 1,All,All,70
2019,(CAH03) biological and sport sciences,(CAH03-01-05) plant sciences,Quintile 1,All,All,5
2020,(CAH03) biological and sport sciences,(CAH03-01-05) plant sciences,Quintile 1,All,All,5
2021,(CAH03) biological and sport sciences,(CAH03-01-05) plant sciences,Quintile 1,All,All,5
2022,(CAH03) biological and sport sciences,(CAH03-01-05) plant sciences,Quintile 1,All,All,10
2023,(CAH03) biological and sport sciences,(CAH03-01-05) plant sciences,Quintile 1,All,All,10
2024,(CAH03) biological and sport sciences,(CAH03-01-05) plant sciences,Quintile 1,All,All,5
2019,(CAH03) biological and sport sciences,(CAH03-01-06) zoology,Quintile 1,All,All,235
2020,(CAH03) biological and sport sciences,(CAH03-01-06) zoology,Quintile 1,All,All,265
2021,(CAH03) biological and sport sciences,(CAH03-01-06) zoology,Quintile 1,All,All,245
2022,(CAH03) biological and sport sciences,(CAH03-01-06) zoology,Quintile 1,All,All,275
2023,(CAH03) biological and sport sciences,(CAH03-01-06) zoology,Quintile 1,All,All,230
2024,(CAH03) biological and sport sciences,(CAH03-01-06) zoology,Quintile 1,All,All,235
2019,(CAH03) biological and sport sciences,(CAH03-01-09) hair and beauty sciences,Quintile 1,All,All,10
2020,(CAH03) biological and sport sciences,(CAH03-01-09) hair and beauty sciences,Quintile 1,All,All,25
2021,(CAH03) biological and sport sciences,(CAH03-01-09) hair and beauty sciences,Quintile 1,All,All,15
2022,(CAH03) biological and sport sciences,(CAH03-01-09) hair and beauty sciences,Quintile 1,All,All,5
2019,"(CAH13) architecture, building and planning",(CAH13-01-01) architecture,Quintile 1,All,All,420
2020,"(CAH13) architecture, building and planning",(CAH13-01-01) architecture,Quintile 1,All,All,475
2021,"(CAH13) architecture, building and planning",(CAH13-01-01) architecture,Quintile 1,All,All,500
2022,"(CAH13) architecture, building and planning",(CAH13-01-01) architecture,Quintile 1,All,All,585
2023,"(CAH13) architecture, building and planning",(CAH13-01-01) architecture,Quintile 1,All,All,570
2024,"(CAH13) architecture, building and planning",(CAH13-01-01) architecture,Quintile 1,All,All,625
2019,"(CAH13) architecture, building and planning",(CAH13-01-03) landscape design,Quintile 1,All,All,5
2020,"(CAH13) architecture, building and planning",(CAH13-01-03) landscape design,Quintile 1,All,All,15
2021,"(CAH13) architecture, building and planning",(CAH13-01-03) landscape design,Quintile 1,All,All,10
2022,"(CAH13) architecture, building and planning",(CAH13-01-03) landscape design,Quintile 1,All,All,10
2023,"(CAH13) architecture, building and planning",(CAH13-01-03) landscape design,Quintile 1,All,All,10
2024,"(CAH13) architecture, building and planning",(CAH13-01-03) landscape design,Quintile 1,All,All,15
2019,"(CAH13) architecture, building and planning",(CAH13-01-02) building,Quintile 1,All,All,310
2020,"(CAH13) architecture, building and planning",(CAH13-01-02) building,Quintile 1,All,All,340
2021,"(CAH13) architecture, building and planning",(CAH13-01-02) building,Quintile 1,All,All,295
2022,"(CAH13) architecture, building and planning",(CAH13-01-02) building,Quintile 1,All,All,800
2023,"(CAH13) architecture, building and planning",(CAH13-01-02) building,Quintile 1,All,All,855
2024,"(CAH13) architecture, building and planning",(CAH13-01-02) building,Quintile 1,All,All,1005
2019,"(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)",Quintile 1,All,All,90
2020,"(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)",Quintile 1,All,All,95
2021,"(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)",Quintile 1,All,All,90
2022,"(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)",Quintile 1,All,All,70
2023,"(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)",Quintile 1,All,All,55
2024,"(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)",Quintile 1,All,All,55
2019,(CAH01) medicine and dentistry,(CAH01-01-03) medicine by specialism,Quintile 1,All,All,25
2020,(CAH01) medicine and dentistry,(CAH01-01-03) medicine by specialism,Quintile 1,All,All,30
2021,(CAH01) medicine and dentistry,(CAH01-01-03) medicine by specialism,Quintile 1,All,All,30
2022,(CAH01) medicine and dentistry,(CAH01-01-03) medicine by specialism,Quintile 1,All,All,30
2023,(CAH01) medicine and dentistry,(CAH01-01-03) medicine by specialism,Quintile 1,All,All,20
2024,(CAH01) medicine and dentistry,(CAH01-01-03) medicine by specialism,Quintile 1,All,All,20
2019,(CAH01) medicine and dentistry,(CAH01-01-04) dentistry,Quintile 1,All,All,95
2020,(CAH01) medicine and dentistry,(CAH01-01-04) dentistry,Quintile 1,All,All,110
2021,(CAH01) medicine and dentistry,(CAH01-01-04) dentistry,Quintile 1,All,All,130
2022,(CAH01) medicine and dentistry,(CAH01-01-04) dentistry,Quintile 1,All,All,95
2023,(CAH01) medicine and dentistry,(CAH01-01-04) dentistry,Quintile 1,All,All,130
2024,(CAH01) medicine and dentistry,(CAH01-01-04) dentistry,Quintile 1,All,All,145
2019,(CAH01) medicine and dentistry,(CAH01-01-02) medicine (non-specific),Quintile 1,All,All,615
2020,(CAH01) medicine and dentistry,(CAH01-01-02) medicine (non-specific),Quintile 1,All,All,750
2021,(CAH01) medicine and dentistry,(CAH01-01-02) medicine (non-specific),Quintile 1,All,All,885
2022,(CAH01) medicine and dentistry,(CAH01-01-02) medicine (non-specific),Quintile 1,All,All,805
2023,(CAH01) medicine and dentistry,(CAH01-01-02) medicine (non-specific),Quintile 1,All,All,795
2024,(CAH01) medicine and dentistry,(CAH01-01-02) medicine (non-specific),Quintile 1,All,All,940
2019,(CAH01) medicine and dentistry,(CAH01-01-01) medical sciences (non-specific),Quintile 1,All,All,55
2020,(CAH01) medicine and dentistry,(CAH01-01-01) medical sciences (non-specific),Quintile 1,All,All,55
2021,(CAH01) medicine and dentistry,(CAH01-01-01) medical sciences (non-specific),Quintile 1,All,All,50
2022,(CAH01) medicine and dentistry,(CAH01-01-01) medical sciences (non-specific),Quintile 1,All,All,55
2023,(CAH01) medicine and dentistry,(CAH01-01-01) medical sciences (non-specific),Quintile 1,All,All,50
2024,(CAH01) medicine and dentistry,(CAH01-01-01) medical sciences (non-specific),Quintile 1,All,All,35
2019,"(CAH20) historical, philosophical and religious studies",(CAH20-01-01) history,Quintile 1,All,All,970
2020,"(CAH20) historical, philosophical and religious studies",(CAH20-01-01) history,Quintile 1,All,All,935
2021,"(CAH20) historical, philosophical and religious studies",(CAH20-01-01) history,Quintile 1,All,All,850
2022,"(CAH20) historical, philosophical and religious studies",(CAH20-01-01) history,Quintile 1,All,All,855
2023,"(CAH20) historical, philosophical and religious studies",(CAH20-01-01) history,Quintile 1,All,All,845
2024,"(CAH20) historical, philosophical and religious studies",(CAH20-01-01) history,Quintile 1,All,All,860
2019,"(CAH20) historical, philosophical and religious studies",(CAH20-01-03) archaeology,Quintile 1,All,All,85
2020,"(CAH20) historical, philosophical and religious studies",(CAH20-01-03) archaeology,Quintile 1,All,All,95
2021,"(CAH20) historical, philosophical and religious studies",(CAH20-01-03) archaeology,Quintile 1,All,All,90
2022,"(CAH20) historical, philosophical and religious studies",(CAH20-01-03) archaeology,Quintile 1,All,All,95
2023,"(CAH20) historical, philosophical and religious studies",(CAH20-01-03) archaeology,Quintile 1,All,All,105
2024,"(CAH20) historical, philosophical and religious studies",(CAH20-01-03) archaeology,Quintile 1,All,All,105
2019,"(CAH20) historical, philosophical and religious studies",(CAH20-01-05) classics,Quintile 1,All,All,70
2020,"(CAH20) historical, philosophical and religious studies",(CAH20-01-05) classics,Quintile 1,All,All,80
2021,"(CAH20) historical, philosophical and religious studies",(CAH20-01-05) classics,Quintile 1,All,All,70
2022,"(CAH20) historical, philosophical and religious studies",(CAH20-01-05) classics,Quintile 1,All,All,80
2023,"(CAH20) historical, philosophical and religious studies",(CAH20-01-05) classics,Quintile 1,All,All,95
2024,"(CAH20) historical, philosophical and religious studies",(CAH20-01-05) classics,Quintile 1,All,All,85
2019,"(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design",Quintile 1,All,All,50
2020,"(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design",Quintile 1,All,All,55
2021,"(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design",Quintile 1,All,All,55
2022,"(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design",Quintile 1,All,All,50
2023,"(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design",Quintile 1,All,All,50
2024,"(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design",Quintile 1,All,All,55
2019,"(CAH20) historical, philosophical and religious studies",(CAH20-02-01) philosophy,Quintile 1,All,All,205
2020,"(CAH20) historical, philosophical and religious studies",(CAH20-02-01) philosophy,Quintile 1,All,All,200
2021,"(CAH20) historical, philosophical and religious studies",(CAH20-02-01) philosophy,Quintile 1,All,All,210
2022,"(CAH20) historical, philosophical and religious studies",(CAH20-02-01) philosophy,Quintile 1,All,All,245
2023,"(CAH20) historical, philosophical and religious studies",(CAH20-02-01) philosophy,Quintile 1,All,All,225
2024,"(CAH20) historical, philosophical and religious studies",(CAH20-02-01) philosophy,Quintile 1,All,All,195
2019,"(CAH20) historical, philosophical and religious studies",(CAH20-02-02) theology and religious studies,Quintile 1,All,All,105
2020,"(CAH20) historical, philosophical and religious studies",(CAH20-02-02) theology and religious studies,Quintile 1,All,All,75
2021,"(CAH20) historical, philosophical and religious studies",(CAH20-02-02) theology and religious studies,Quintile 1,All,All,80
2022,"(CAH20) historical, philosophical and religious studies",(CAH20-02-02) theology and religious studies,Quintile 1,All,All,80
2023,"(CAH20) historical, philosophical and religious studies",(CAH20-02-02) theology and religious studies,Quintile 1,All,All,60
2024,"(CAH20) historical, philosophical and religious studies",(CAH20-02-02) theology and religious studies,Quintile 1,All,All,80
2019,"(CAH20) historical, philosophical and religious studies",(CAH20-01-04) heritage studies,Quintile 1,All,All,5
2020,"(CAH20) historical, philosophical and religious studies",(CAH20-01-04) heritage studies,Quintile 1,All,All,5
2021,"(CAH20) historical, philosophical and religious studies",(CAH20-01-04) heritage studies,Quintile 1,All,All,5
2022,"(CAH20) historical, philosophical and religious studies",(CAH20-01-04) heritage studies,Quintile 1,All,All,10
2023,"(CAH20) historical, philosophical and religious studies",(CAH20-01-04) heritage studies,Quintile 1,All,All,5
2024,"(CAH20) historical, philosophical and religious studies",(CAH20-01-04) heritage studies,Quintile 1,All,All,5
2019,(CAH11) computing,(CAH11-01-08) others in computing,Quintile 1,All,All,175
2020,(CAH11) computing,(CAH11-01-08) others in computing,Quintile 1,All,All,160
2021,(CAH11) computing,(CAH11-01-08) others in computing,Quintile 1,All,All,160
2022,(CAH11) computing,(CAH11-01-08) others in computing,Quintile 1,All,All,145
2023,(CAH11) computing,(CAH11-01-08) others in computing,Quintile 1,All,All,170
2024,(CAH11) computing,(CAH11-01-08) others in computing,Quintile 1,All,All,180
2019,(CAH11) computing,(CAH11-01-05) artificial intelligence,Quintile 1,All,All,30
2020,(CAH11) computing,(CAH11-01-05) artificial intelligence,Quintile 1,All,All,40
2021,(CAH11) computing,(CAH11-01-05) artificial intelligence,Quintile 1,All,All,55
2022,(CAH11) computing,(CAH11-01-05) artificial intelligence,Quintile 1,All,All,50
2023,(CAH11) computing,(CAH11-01-05) artificial intelligence,Quintile 1,All,All,65
2024,(CAH11) computing,(CAH11-01-05) artificial intelligence,Quintile 1,All,All,125
2019,(CAH11) computing,(CAH11-01-07) business computing,Quintile 1,All,All,120
2020,(CAH11) computing,(CAH11-01-07) business computing,Quintile 1,All,All,120
2021,(CAH11) computing,(CAH11-01-07) business computing,Quintile 1,All,All,115
2022,(CAH11) computing,(CAH11-01-07) business computing,Quintile 1,All,All,90
2023,(CAH11) computing,(CAH11-01-07) business computing,Quintile 1,All,All,75
2024,(CAH11) computing,(CAH11-01-07) business computing,Quintile 1,All,All,105
2019,(CAH11) computing,(CAH11-01-06) computer games and animation,Quintile 1,All,All,1060
2020,(CAH11) computing,(CAH11-01-06) computer games and animation,Quintile 1,All,All,1065
2021,(CAH11) computing,(CAH11-01-06) computer games and animation,Quintile 1,All,All,950
2022,(CAH11) computing,(CAH11-01-06) computer games and animation,Quintile 1,All,All,1140
2023,(CAH11) computing,(CAH11-01-06) computer games and animation,Quintile 1,All,All,1120
2024,(CAH11) computing,(CAH11-01-06) computer games and animation,Quintile 1,All,All,1105
2019,(CAH11) computing,(CAH11-01-01) computer science,Quintile 1,All,All,1635
2020,(CAH11) computing,(CAH11-01-01) computer science,Quintile 1,All,All,1700
2021,(CAH11) computing,(CAH11-01-01) computer science,Quintile 1,All,All,1615
2022,(CAH11) computing,(CAH11-01-01) computer science,Quintile 1,All,All,1830
2023,(CAH11) computing,(CAH11-01-01) computer science,Quintile 1,All,All,1925
2024,(CAH11) computing,(CAH11-01-01) computer science,Quintile 1,All,All,2110
2019,(CAH11) computing,(CAH11-01-02) information technology,Quintile 1,All,All,170
2020,(CAH11) computing,(CAH11-01-02) information technology,Quintile 1,All,All,155
2021,(CAH11) computing,(CAH11-01-02) information technology,Quintile 1,All,All,155
2022,(CAH11) computing,(CAH11-01-02) information technology,Quintile 1,All,All,145
2023,(CAH11) computing,(CAH11-01-02) information technology,Quintile 1,All,All,125
2024,(CAH11) computing,(CAH11-01-02) information technology,Quintile 1,All,All,125
2019,(CAH11) computing,(CAH11-01-03) information systems,Quintile 1,All,All,100
2020,(CAH11) computing,(CAH11-01-03) information systems,Quintile 1,All,All,80
2021,(CAH11) computing,(CAH11-01-03) information systems,Quintile 1,All,All,75
2022,(CAH11) computing,(CAH11-01-03) information systems,Quintile 1,All,All,75
2023,(CAH11) computing,(CAH11-01-03) information systems,Quintile 1,All,All,70
2024,(CAH11) computing,(CAH11-01-03) information systems,Quintile 1,All,All,75
2019,(CAH11) computing,(CAH11-01-04) software engineering,Quintile 1,All,All,525
2020,(CAH11) computing,(CAH11-01-04) software engineering,Quintile 1,All,All,565
2021,(CAH11) computing,(CAH11-01-04) software engineering,Quintile 1,All,All,560
2022,(CAH11) computing,(CAH11-01-04) software engineering,Quintile 1,All,All,660
2023,(CAH11) computing,(CAH11-01-04) software engineering,Quintile 1,All,All,730
2024,(CAH11) computing,(CAH11-01-04) software engineering,Quintile 1,All,All,870
2019,"(CAH26) geography, earth and environmental studies",(CAH26-01-06) earth sciences,Quintile 1,All,All,110
2020,"(CAH26) geography, earth and environmental studies",(CAH26-01-06) earth sciences,Quintile 1,All,All,130
2021,"(CAH26) geography, earth and environmental studies",(CAH26-01-06) earth sciences,Quintile 1,All,All,95
2022,"(CAH26) geography, earth and environmental studies",(CAH26-01-06) earth sciences,Quintile 1,All,All,125
2023,"(CAH26) geography, earth and environmental studies",(CAH26-01-06) earth sciences,Quintile 1,All,All,110
2024,"(CAH26) geography, earth and environmental studies",(CAH26-01-06) earth sciences,Quintile 1,All,All,125
2019,"(CAH26) geography, earth and environmental studies",(CAH26-01-04) environmental sciences,Quintile 1,All,All,100
2020,"(CAH26) geography, earth and environmental studies",(CAH26-01-04) environmental sciences,Quintile 1,All,All,115
2021,"(CAH26) geography, earth and environmental studies",(CAH26-01-04) environmental sciences,Quintile 1,All,All,115
2022,"(CAH26) geography, earth and environmental studies",(CAH26-01-04) environmental sciences,Quintile 1,All,All,120
2023,"(CAH26) geography, earth and environmental studies",(CAH26-01-04) environmental sciences,Quintile 1,All,All,95
2024,"(CAH26) geography, earth and environmental studies",(CAH26-01-04) environmental sciences,Quintile 1,All,All,125
2019,"(CAH26) geography, earth and environmental studies",(CAH26-01-02) physical geographical sciences,Quintile 1,All,All,155
2020,"(CAH26) geography, earth and environmental studies",(CAH26-01-02) physical geographical sciences,Quintile 1,All,All,170
2021,"(CAH26) geography, earth and environmental studies",(CAH26-01-02) physical geographical sciences,Quintile 1,All,All,180
2022,"(CAH26) geography, earth and environmental studies",(CAH26-01-02) physical geographical sciences,Quintile 1,All,All,200
2023,"(CAH26) geography, earth and environmental studies",(CAH26-01-02) physical geographical sciences,Quintile 1,All,All,175
2024,"(CAH26) geography, earth and environmental studies",(CAH26-01-02) physical geographical sciences,Quintile 1,All,All,160
2019,"(CAH26) geography, earth and environmental studies",(CAH26-01-01) geography (non-specific),Quintile 1,All,All,70
2020,"(CAH26) geography, earth and environmental studies",(CAH26-01-01) geography (non-specific),Quintile 1,All,All,95
2021,"(CAH26) geography, earth and environmental studies",(CAH26-01-01) geography (non-specific),Quintile 1,All,All,70
2022,"(CAH26) geography, earth and environmental studies",(CAH26-01-01) geography (non-specific),Quintile 1,All,All,75
2023,"(CAH26) geography, earth and environmental studies",(CAH26-01-01) geography (non-specific),Quintile 1,All,All,75
2024,"(CAH26) geography, earth and environmental studies",(CAH26-01-01) geography (non-specific),Quintile 1,All,All,85
2019,"(CAH26) geography, earth and environmental studies",(CAH26-01-03) human geography,Quintile 1,All,All,155
2020,"(CAH26) geography, earth and environmental studies",(CAH26-01-03) human geography,Quintile 1,All,All,160
2021,"(CAH26) geography, earth and environmental studies",(CAH26-01-03) human geography,Quintile 1,All,All,170
2022,"(CAH26) geography, earth and environmental studies",(CAH26-01-03) human geography,Quintile 1,All,All,165
2023,"(CAH26) geography, earth and environmental studies",(CAH26-01-03) human geography,Quintile 1,All,All,165
2024,"(CAH26) geography, earth and environmental studies",(CAH26-01-03) human geography,Quintile 1,All,All,150
2019,(CAH07) physical sciences,(CAH07-04-02) forensic and archaeological sciences,Quintile 1,All,All,470
2020,(CAH07) physical sciences,(CAH07-04-02) forensic and archaeological sciences,Quintile 1,All,All,485
2021,(CAH07) physical sciences,(CAH07-04-02) forensic and archaeological sciences,Quintile 1,All,All,520
2022,(CAH07) physical sciences,(CAH07-04-02) forensic and archaeological sciences,Quintile 1,All,All,480
2023,(CAH07) physical sciences,(CAH07-04-02) forensic and archaeological sciences,Quintile 1,All,All,475
2024,(CAH07) physical sciences,(CAH07-04-02) forensic and archaeological sciences,Quintile 1,All,All,480
2019,(CAH07) physical sciences,(CAH07-04-03) sciences (non-specific),Quintile 1,All,All,70
2020,(CAH07) physical sciences,(CAH07-04-03) sciences (non-specific),Quintile 1,All,All,100
2021,(CAH07) physical sciences,(CAH07-04-03) sciences (non-specific),Quintile 1,All,All,90
2022,(CAH07) physical sciences,(CAH07-04-03) sciences (non-specific),Quintile 1,All,All,145
2023,(CAH07) physical sciences,(CAH07-04-03) sciences (non-specific),Quintile 1,All,All,140
2024,(CAH07) physical sciences,(CAH07-04-03) sciences (non-specific),Quintile 1,All,All,190
2019,(CAH07) physical sciences,(CAH07-04-04) natural sciences (non-specific),Quintile 1,All,All,30
2020,(CAH07) physical sciences,(CAH07-04-04) natural sciences (non-specific),Quintile 1,All,All,45
2021,(CAH07) physical sciences,(CAH07-04-04) natural sciences (non-specific),Quintile 1,All,All,35
2022,(CAH07) physical sciences,(CAH07-04-04) natural sciences (non-specific),Quintile 1,All,All,35
