Year,Subject group HECoS CAH1,Subject group HECoS CAH3,POLAR4 Quintile,Main scheme applicant,Main scheme application,Accepted applicants
2019,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,All,All,105
2020,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,All,All,110
2021,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,All,All,85
2022,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,All,All,125
2023,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,All,All,125
2024,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,All,All,125
2019,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,All,All,20
2020,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,All,All,10
2021,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,All,All,5
2022,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,All,All,10
2023,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,All,All,10
2024,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,All,All,15
2019,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,All,All,110
2020,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,All,All,120
2021,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,All,All,125
2022,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,All,All,120
2023,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,All,All,125
2024,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,All,All,125
2019,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 1,All,All,205
2020,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 1,All,All,215
2021,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 1,All,All,210
2022,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 1,All,All,230
2023,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 1,All,All,225
