Year,Subject group HECoS CAH1,Subject group HECoS CAH3,IMD Aggregated,Accepted applicants
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,2600
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,2665
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,2605
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,2620
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,2540
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-03) design studies,Quintile 1,2715
2019,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,1320
2020,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,1405
2021,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,1310
2022,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,1345
2023,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,1210
2024,"(CAH25) design, and creative and performing arts",(CAH25-02-02) music,Quintile 1,1275
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,1550
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,1530
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,1370
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,1485
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,1400
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 1,1390
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,670
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,665
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,605
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,675
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,655
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 1,625
2019,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,825
2020,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,830
2021,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,845
2022,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,845
2023,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,805
2024,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 1,845
2019,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,170
2020,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,190
2021,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,205
2022,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,205
2023,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,195
2024,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 1,175
2019,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,140
2020,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,145
2021,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,100
2022,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,120
2023,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,100
2024,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 1,90
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,235
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,205
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,175
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,190
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,175
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 1,185
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 1,130
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 1,155
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 1,140
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 1,150
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 1,135
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 1,150
2019,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,185
2020,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,230
2021,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,185
2022,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,245
2023,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,230
2024,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 1,230
2019,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,20
2020,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,20
2021,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,10
2022,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,15
2023,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,25
2024,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 1,15
2019,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,135
2020,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,140
2021,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,155
2022,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,140
2023,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,160
2024,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 1,180
2019,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 1,275
2020,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 1,300
2021,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 1,280
2022,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 1,305
2023,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 1,285
2024,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 1,330
2019,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 1,515
2020,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 1,525
2021,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 1,590
2022,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 1,535
2023,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 1,590
2024,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 1,680
2019,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 1,675
2020,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 1,720
2021,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 1,715
2022,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 1,730
2023,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 1,735
2024,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 1,845
2019,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 1,715
2020,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 1,750
2021,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 1,815
2022,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 1,705
2023,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 1,625
2024,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 1,735
2019,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 1,15
2020,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 1,20
2021,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 1,20
2022,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 1,20
2023,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 1,25
2024,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 1,30
2019,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 1,375
2020,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 1,355
2021,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 1,305
2022,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 1,270
2023,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 1,295
2024,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 1,330
2019,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 1,15
2020,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 1,10
2021,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 1,5
2022,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 1,10
2023,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 1,15
2024,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 1,5
2020,(CAH10) engineering and technology,(CAH10-03-01) minerals technology,Quintile 1,5
2022,(CAH10) engineering and technology,(CAH10-03-01) minerals technology,Quintile 1,5
2024,(CAH10) engineering and technology,(CAH10-03-01) minerals technology,Quintile 1,5
2019,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 1,715
2020,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 1,695
2021,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 1,740
2022,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 1,675
2023,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 1,690
2024,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 1,665
2019,(CAH10) engineering and technology,(CAH10-01-10) others in engineering,Quintile 1,10
2020,(CAH10) engineering and technology,(CAH10-01-10) others in engineering,Quintile 1,5
2021,(CAH10) engineering and technology,(CAH10-01-10) others in engineering,Quintile 1,5
2024,(CAH10) engineering and technology,(CAH10-01-10) others in engineering,Quintile 1,5
2019,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 1,1130
2020,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 1,1165
2021,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 1,1090
2022,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 1,1145
2023,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 1,1110
2024,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 1,1335
2019,(CAH10) engineering and technology,(CAH10-03-04) maritime technology,Quintile 1,5
2021,(CAH10) engineering and technology,(CAH10-03-04) maritime technology,Quintile 1,5
2022,(CAH10) engineering and technology,(CAH10-03-04) maritime technology,Quintile 1,5
2023,(CAH10) engineering and technology,(CAH10-03-04) maritime technology,Quintile 1,5
2019,(CAH10) engineering and technology,(CAH10-01-05) naval architecture,Quintile 1,5
2020,(CAH10) engineering and technology,(CAH10-01-05) naval architecture,Quintile 1,5
2021,(CAH10) engineering and technology,(CAH10-01-05) naval architecture,Quintile 1,5
2023,(CAH10) engineering and technology,(CAH10-01-05) naval architecture,Quintile 1,5
2024,(CAH10) engineering and technology,(CAH10-01-05) naval architecture,Quintile 1,5
2019,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 1,15
2020,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 1,15
2021,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 1,15
2022,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 1,10
2023,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 1,20
2024,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 1,10
2019,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 1,350
2020,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 1,405
2021,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 1,415
2022,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 1,345
2023,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 1,430
2024,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 1,465
2019,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 1,160
2020,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 1,185
2021,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 1,170
2022,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 1,170
2023,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 1,145
2024,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 1,140
2019,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 1,525
2020,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 1,590
2021,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 1,515
2022,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 1,610
2023,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 1,655
2024,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 1,875
2019,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 1,185
2020,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 1,230
2021,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 1,285
2022,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 1,265
2023,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 1,200
2024,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 1,240
2019,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 1,1250
2020,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 1,1325
2021,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 1,1375
2022,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 1,1515
2023,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 1,1465
2024,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 1,1525
2019,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 1,210
2020,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 1,255
2021,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 1,240
2022,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 1,205
2023,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 1,175
2024,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 1,180
2019,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 1,260
2020,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 1,160
2021,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 1,205
2022,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 1,140
2023,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 1,100
2024,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 1,135
2019,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 1,790
2020,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 1,850
2021,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 1,785
2022,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 1,900
2023,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 1,855
2024,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 1,910
2019,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 1,200
2020,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 1,200
2021,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 1,255
2022,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 1,285
2023,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 1,370
2024,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 1,420
2019,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 1,880
2020,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 1,1005
2021,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 1,1195
2022,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 1,1270
2023,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 1,1250
2024,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 1,1130
2019,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 1,290
2020,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 1,340
2021,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 1,365
2022,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 1,390
2023,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 1,445
2024,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 1,525
2019,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 1,265
2020,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 1,300
2021,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 1,300
2022,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 1,290
2023,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 1,1815
2024,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 1,2070
2019,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 1,1990
2020,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 1,2080
2021,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 1,2225
2022,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 1,2350
2023,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 1,2380
2024,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 1,2385
2019,(CAH02) subjects allied to medicine,(CAH02-02-02) toxicology,Quintile 1,5
2020,(CAH02) subjects allied to medicine,(CAH02-02-02) toxicology,Quintile 1,5
2021,(CAH02) subjects allied to medicine,(CAH02-02-02) toxicology,Quintile 1,5
2022,(CAH02) subjects allied to medicine,(CAH02-02-02) toxicology,Quintile 1,5
2023,(CAH02) subjects allied to medicine,(CAH02-02-02) toxicology,Quintile 1,10
2024,(CAH02) subjects allied to medicine,(CAH02-02-02) toxicology,Quintile 1,5
2019,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 1,4585
2020,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 1,5690
2021,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 1,5755
2022,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 1,5510
2023,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 1,4935
2024,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 1,4995
2019,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 1,790
2020,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 1,1120
2021,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 1,1090
2022,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 1,1015
2023,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 1,1085
2024,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 1,1250
2019,(CAH02) subjects allied to medicine,(CAH02-04-03) community nursing,Quintile 1,5
2020,(CAH02) subjects allied to medicine,(CAH02-04-03) community nursing,Quintile 1,15
2021,(CAH02) subjects allied to medicine,(CAH02-04-03) community nursing,Quintile 1,20
2022,(CAH02) subjects allied to medicine,(CAH02-04-03) community nursing,Quintile 1,10
2023,(CAH02) subjects allied to medicine,(CAH02-04-03) community nursing,Quintile 1,10
2024,(CAH02) subjects allied to medicine,(CAH02-04-03) community nursing,Quintile 1,5
2019,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 1,70
2020,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 1,75
2021,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 1,65
2022,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 1,70
2023,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 1,75
2024,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 1,70
2019,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 1,30
2020,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 1,35
2021,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 1,40
2022,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 1,40
2023,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 1,45
2024,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 1,85
2019,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 1,215
2020,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 1,230
2021,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 1,265
2022,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 1,250
2023,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 1,210
2024,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 1,170
2019,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 1,1580
2020,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 1,2070
2021,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 1,1805
2022,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 1,1805
2023,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 1,1980
2024,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 1,1970
2019,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 1,625
2020,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 1,880
2021,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 1,765
2022,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 1,820
2023,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 1,945
2024,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 1,995
2019,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 1,485
2020,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 1,485
2021,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 1,485
2022,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 1,445
2023,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 1,455
2024,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 1,535
2019,(CAH19) language and area studies,(CAH19-01-05) creative writing,Quintile 1,270
2020,(CAH19) language and area studies,(CAH19-01-05) creative writing,Quintile 1,300
2021,(CAH19) language and area studies,(CAH19-01-05) creative writing,Quintile 1,260
2022,(CAH19) language and area studies,(CAH19-01-05) creative writing,Quintile 1,300
2023,(CAH19) language and area studies,(CAH19-01-05) creative writing,Quintile 1,305
2024,(CAH19) language and area studies,(CAH19-01-05) creative writing,Quintile 1,230
2019,(CAH19) language and area studies,(CAH19-04-08) American and Australasian studies,Quintile 1,35
2020,(CAH19) language and area studies,(CAH19-04-08) American and Australasian studies,Quintile 1,30
2021,(CAH19) language and area studies,(CAH19-04-08) American and Australasian studies,Quintile 1,25
2022,(CAH19) language and area studies,(CAH19-04-08) American and Australasian studies,Quintile 1,25
2023,(CAH19) language and area studies,(CAH19-04-08) American and Australasian studies,Quintile 1,10
2024,(CAH19) language and area studies,(CAH19-04-08) American and Australasian studies,Quintile 1,15
2019,(CAH19) language and area studies,(CAH19-01-06) others in English studies,Quintile 1,15
2020,(CAH19) language and area studies,(CAH19-01-06) others in English studies,Quintile 1,15
2021,(CAH19) language and area studies,(CAH19-01-06) others in English studies,Quintile 1,15
2022,(CAH19) language and area studies,(CAH19-01-06) others in English studies,Quintile 1,15
2023,(CAH19) language and area studies,(CAH19-01-06) others in English studies,Quintile 1,15
2024,(CAH19) language and area studies,(CAH19-01-06) others in English studies,Quintile 1,10
2019,(CAH19) language and area studies,(CAH19-01-02) English language,Quintile 1,185
2020,(CAH19) language and area studies,(CAH19-01-02) English language,Quintile 1,160
2021,(CAH19) language and area studies,(CAH19-01-02) English language,Quintile 1,135
2022,(CAH19) language and area studies,(CAH19-01-02) English language,Quintile 1,125
2023,(CAH19) language and area studies,(CAH19-01-02) English language,Quintile 1,110
